				akt	erbb2	pakt	perbb2	perbb3
184B5	50576	nan	TNBC	-1.83910908383	-1.75422381917	-1.18962851282	-2.35451561902	-4.28401036494
AU565	50091	nan	HER2amp	-1.4967195654	0.0745129839175	-0.56313988467	0.0346176316262	-1.12008796272
BT-20	50105	nan	TNBC	-1.71123414592	-1.48425692487	-0.689053273586	-1.93837301028	-4.28401036494
BT-474	50106	nan	HER2amp	-1.22664915788	0.0241480455072	-0.645694543139	-0.00323475262687	-1.18923876192
BT-483	50107	nan	HR+	-1.40568298934	-0.696476946026	-0.916449818682	-1.68037181077	-4.28401036494
BT-549	50108	nan	TNBC	-1.54630825656	-1.95150516027	-0.518468724338	-1.91284708162	-4.28401036494
CAMA-1	50131	nan	HR+	-1.79583816951	-1.19936792751	-0.567908539682	-2.12951776736	-4.28401036494
HCC1187	50578	nan	TNBC	-1.16988964947	-1.38108177256	-0.603610342432	-1.81002846678	-4.28401036494
HCC1395	50206	nan	TNBC	-1.39768892938	-2.51464102981	-0.451642382412	-2.65198715023	-4.28401036494
HCC1419	50207	nan	HER2amp	-1.16604422924	0.481864480265	-0.247076641122	0.385908314265	-0.803188031851
HCC1428	50208	nan	HR+	-1.12046184057	-1.41213746547	-2.43875338435	-2.65198715023	-4.28401036494
HCC1500	50579	nan	HR+	-1.52178624773	-1.54482263872	-2.39290444073	-1.99620156377	-4.28401036494
HCC1569	50210	nan	HER2amp	-1.58881704714	0.082625207987	-0.424099313702	-0.329188414661	-3.18905230888
HCC1806	50211	nan	TNBC	-1.9334700553	-1.85585088527	-2.21800519915	-2.33975383124	-4.28401036494
HCC1937	50212	nan	TNBC	-1.63627555056	-1.62094880176	-0.528525329038	-2.65198715023	-4.28401036494
HCC1954	50213	nan	HER2amp	-1.5338557639	0.307161215095	-0.168168511782	-0.0684037104431	-1.77874889087
HCC202	50214	nan	HER2amp	-1.07681776761	-0.0291047220276	-0.358864029088	-0.713729727417	-4.28401036494
HCC38	50216	nan	TNBC	-1.51480223844	-1.38403297431	-1.1127601297	-2.07643700724	-4.28401036494
HCC70	50219	nan	TNBC	-1.51927373726	-1.73301503297	-0.541023854747	-2.65198715023	-4.28401036494
Hs 578T	50238	nan	TNBC	-1.41275799674	-1.93978679343	-0.893028703928	-2.65198715023	-4.28401036494
MCF 10A	50583	nan	TNBC	-1.59217087856	-1.75859887732	-1.01618313743	-2.09127785911	-4.28401036494
MCF 10F	50584	nan	TNBC	-1.47268733916	-1.50266577947	-1.15959452489	-2.32995599837	-4.28401036494
MCF7	50029	nan	HR+	-0.892996788222	-1.63512258917	-1.47384584029	-2.65198715023	-4.28401036494
MDA-MB-134-VI	50327	nan	HR+	-1.66069403235	-1.91988594328	-2.78500037731	-2.65198715023	-4.28401036494
MDA-MB-157	50328	nan	TNBC	-1.26408366329	-2.17555317604	-2.04595376205	-2.65198715023	-4.28401036494
MDA-MB-175-VII	50329	nan	HR+	-1.32014742396	-1.12611959011	-0.527931573753	-1.79759160867	-2.04067544793
MDA-MB-231	50058	nan	TNBC	-1.44336163137	-2.09933245983	-2.17540398356	-2.45511441777	-4.28401036494
MDA-MB-361	50331	nan	HER2amp	-1.17065685235	-0.679644684215	-1.2467871709	-1.11830096771	-4.28401036494
MDA-MB-415	50332	nan	HR+	-1.47534209315	-1.27574012148	0.0205614575139	-1.98242026352	-4.28401036494
MDA-MB-436	50333	nan	TNBC	-1.82000531859	-2.55734779302	-0.538136210194	-2.65198715023	-4.28401036494
MDA-MB-453	50334	nan	TNBC	-0.9203842805	-0.607259866885	-0.295539501516	-1.01789359655	-2.12045409514
MDA-MB-468	50335	nan	TNBC	-1.73607034307	-4.0735910771	-0.568398170503	-2.22632771147	-4.28401036494
SK-BR-3	50057	nan	HER2amp	-1.45969738738	0.156956916956	-0.584593060681	0.0767661072343	-1.84956723353
UACC-893	50557	nan	HER2amp	-1.14731649941	0.536869157269	0.288619129969	0.326958031539	-1.39767770151
ZR-75-1	50574	nan	HR+	-0.9866080358	-1.22766710548	-1.42108780187	-2.24449385051	-4.28401036494
ZR-75-30	50575	nan	HER2amp	-1.1004696016	0.312682018483	-0.457644767137	-0.00345715847285	-1.6781153971
