.	GI50(AG1478)	Subtype	PP Akt	PP ErbB2	PP ErbB3	PP pAkt	PP pErbB2	PP pErbB3
184B5	nan	TNBC	-1.839	-1.754	-2.676	-1.190	-2.355	-4.284
AU-565	-4.885	HER2amp	-1.497	0.075	-1.537	-0.563	0.035	-1.120
BT-20	-5.696	TNBC	-1.711	-1.484	-2.130	-0.689	-1.938	-4.284
BT-474	-4.977	HER2amp	-1.227	0.024	-1.579	-0.646	-0.003	-1.189
BT-483	-4.176	HR+	-1.406	-0.696	-1.034	-0.916	-1.680	-4.284
BT-549	-4.378	TNBC	-1.546	-1.952	-4.158	-0.518	-1.913	-4.284
CAMA-1	-4.176	HR+	-1.796	-1.199	-1.415	-0.568	-2.130	-4.284
HCC1187	-5.124	TNBC	-1.170	-1.381	-2.459	-0.604	-1.810	-4.284
HCC1395	-4.400	TNBC	-1.398	-2.515	-4.158	-0.452	-2.652	-4.284
HCC1419	-4.969	HER2amp	-1.166	0.482	-1.371	-0.247	0.386	-0.803
HCC1428	-4.748	HR+	-1.120	-1.412	-1.473	-2.439	-2.652	-4.284
HCC1500	nan	HR+	-1.522	-1.545	-1.670	-2.393	-1.996	-4.284
HCC1569	nan	HER2amp	-1.589	0.083	-1.621	-0.424	-0.329	-3.189
HCC1806	-5.373	TNBC	-1.933	-1.856	-2.259	-2.218	-2.340	-4.284
HCC1937	-4.408	TNBC	-1.636	-1.621	-2.638	-0.529	-2.652	-4.284
HCC1954	-5.507	HER2amp	-1.534	0.307	-1.791	-0.168	-0.068	-1.779
HCC202	-4.433	HER2amp	-1.077	-0.029	-1.682	-0.359	-0.714	-4.284
HCC38	-4.176	TNBC	-1.515	-1.384	-1.613	-1.113	-2.076	-4.284
HCC70	-5.764	TNBC	-1.519	-1.733	-2.082	-0.541	-2.652	-4.284
Hs 578T	nan	TNBC	-1.413	-1.940	-4.158	-0.893	-2.652	-4.284
MCF 10A	nan	TNBC	-1.592	-1.759	-2.887	-1.016	-2.091	-4.284
MCF 10F	nan	TNBC	-1.473	-1.503	-2.159	-1.160	-2.330	-4.284
MCF-12A	nan	TNBC	-1.782	-2.054	-2.762	-1.768	-2.582	-4.284
MCF7__b	-4.176	HR+	-0.893	-1.635	-1.401	-1.474	-2.652	-4.284
MDA-MB-134-VI	-4.176	HR+	-1.661	-1.920	-1.769	-2.785	-2.652	-4.284
MDA-MB-157	-4.301	TNBC	-1.264	-2.176	-4.158	-2.046	-2.652	-4.284
MDA-MB-175-VII	-5.505	HR+	-1.320	-1.126	-2.032	-0.528	-1.798	-2.041
MDA-MB-231__a	-4.399	TNBC	-1.443	-2.099	-3.225	-2.175	-2.455	-4.284
MDA-MB-361	-4.186	HER2amp	-1.171	-0.680	-1.841	-1.247	-1.118	-4.284
MDA-MB-415	nan	HR+	-1.475	-1.276	-1.504	0.021	-1.982	-4.284
MDA-MB-436	-4.256	TNBC	-1.820	-2.557	-3.122	-0.538	-2.652	-4.284
MDA-MB-453	-4.352	TNBC	-0.920	-0.607	-1.544	-0.296	-1.018	-2.120
SK-BR-3__a	-4.798	HER2amp	-1.460	0.157	-1.692	-0.585	0.077	-1.850
T47D	-4.301	HR+	-1.496	-1.447	-1.559	-0.734	-1.953	-4.284
UACC-812	-4.911	HER2amp	-1.203	0.033	-1.934	-0.685	-0.225	-4.284
UACC-893	-4.908	HER2amp	-1.147	0.537	-1.672	0.289	0.327	-1.398
ZR-75-1	-4.176	HR+	-0.987	-1.228	-1.571	-1.421	-2.244	-4.284
ZR-75-30	nan	HER2amp	-1.100	0.313	-1.311	-0.458	-0.003	-1.678
