	Erlotinib	AG1024	Imatinib	Trichostatin A	Etoposide	Fascaplysin	Methotrexate	Bortezomib-batch1	Paclitaxel	PS-1145	SAHA (Vorinostat)	Ixabepilone	Cisplatin	Geldanamycin	API-2(Tricir)	Pemetrexed	Purvalanol A	Rapamycin	Sunitinib Malate	Carboplatin	Docetaxel	Oxaliplatin	Nelfinavir	17-AAG	CPT-11(FD)	Doxorubicin(FD)	Iressa	Baicalein	Sorafenib	Mebendazole	Bortezomib-batch2	Cetuximab	AKT1-2 inhibitor	AZD6244	Lestaurtinib(CEP-701)	NSC663284	Oxamflatin	SB-3CT	TCS PIM-11	VX-680	Gemcitabine	BEZ235	5-FdUR	AS-252424	LBH589	MG-132	Nilotinib	Olomoucine II	PD98059(LC Labs)	TCS2312 dihydrochloride	Sodium Dichloroacetate	Tamoxifen	TPT(FD)	FTase inhibitor I	ICRF-193	PD184352	Rafi IV (L779450)	ZM447439	Disulfiram	AG1478	Vinorelbine	Glycyl H1152	SKI-606(Bosutinib)	XRP44X	NU6102	Epirubicin	ERKi II (FR180304)	Temsirolimus(Torisel)	IKK 16	BIBW2992	TPCA-1	Everolimus	PD173074	Z-Leu-Leu-Norvalinal	4-HC	4-HC+Dox Combo	Doxorubicin	TCS JNK 5a	Valproic acid	Z-Leu-Leu-Leu-al	Methyl Glyoxol	5-FU	Herceptin	QNZ	Bromopyruvate	GM6001	TAPI-0 (IC-1)	GW5074	Chloroquine	Ibandronate sodium salt	Chk2 inhibitor II	GW843682X	Ro 32-0432	DMSO	Sulindac sulfide	LY294002	CI1040	UO126	Celecoxib(Celebrex)	2-deoxy-D-glucose
MCF12A	6.67E-05	3.33E-05	9.17E-05	7.45E-05	2.10E-04	1.23E-06	3.33E-04	7.20E-07	3.33E-05	1.89E-03	1.51E-03	2.33E-07	1.46E-04	4.13E-08	3.33E-05	2.92E-03	1.67E-04	1.67E-04	1.23E-05	4.24E-04	1.00E-05	9.50E-05	3.33E-05	7.57E-08	7.31E-05	3.90E-07	4.53E-06	1.67E-04	7.49E-05	6.67E-05	5.51E-06	6.85E-07	4.99E-05	5.00E-05	3.62E-06	2.65E-06	9.56E-06	1.67E-04	1.33E-04	1.00E-04	1.45E-04	3.33E-05	9.44E-04	3.33E-05	1.54E-06	1.17E-07	2.00E-04	3.28E-05	5.00E-05	9.71E-06	3.33E-06	6.95E-05	1.31E-06	6.67E-05	5.00E-05	3.33E-05	3.33E-05	5.00E-05	6.67E-05	1.15E-06	4.64E-05	6.67E-05	4.55E-06	1.33E-04	2.83E-05	8.16E-07	1.00E-04	3.98E-05	9.32E-06	4.30E-06	6.67E-05	5.10E-05	3.33E-05	4.74E-07	4.44E-05	3.80E-05	4.28E-07	2.00E-04	0.007912	1.28E-07	0.00187	0.000291	7.20E-06	3.33E-05	4.53E-08	3.33E-05	3.33E-05	3.33E-05	6.65E-05	MAX	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
HCC1428	6.67E-05	3.33E-05	4.98E-05	6.38E-06	3.33E-04	7.59E-08	3.33E-04	2.10E-05	3.33E-05	1.89E-03	1.10E-04	1.72E-05	6.06E-05	1.00E-04	3.33E-05	2.92E-03	1.67E-04	1.67E-04	1.59E-05	3.98E-04	1.00E-05	2.05E-05	3.33E-05	1.02E-05	5.45E-05	2.65E-06	2.55E-05	1.67E-04	1.85E-04	6.67E-05	6.67E-05	6.85E-07	2.64E-05	5.00E-05	1.36E-05	6.76E-06	8.52E-07	9.72E-05	1.33E-04	3.33E-05	7.22E-03	3.33E-05	3.27E-03	6.67E-05	1.94E-07	5.76E-07	2.00E-04	7.75E-05	1.00E-04	2.02E-06	3.33E-06	1.67E-04	3.98E-06	3.33E-05	5.00E-05	6.67E-05	4.55E-05	1.00E-04	6.67E-05	1.67E-04	2.06E-05	6.67E-05	1.69E-05	1.33E-04	2.89E-05	1.72E-06	1.00E-04	5.83E-05	8.07E-06	8.73E-06	1.33E-04	3.73E-05	1.48E-05	3.53E-06	2.03E-05	2.09E-05	5.50E-07	1.33E-04	0.00222	6.67E-05	0.007467	0.0000531	7.20E-06	3.33E-05	       NA	3.33E-05	3.33E-05	      NA	      NA	MAX	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
HCC1569	6.67E-05	3.33E-05	6.31E-05	2.43E-05	3.33E-04	1.33E-06	3.33E-04	1.58E-08	3.33E-05	1.89E-03	6.63E-04	9.57E-06	2.50E-04	1.00E-04	3.33E-05	2.92E-03	1.67E-04	1.67E-04	1.83E-05	9.45E-04	1.00E-05	6.29E-04	3.33E-05	1.00E-04	8.17E-05	9.20E-05	3.33E-05	1.67E-04	5.32E-04	6.67E-05	2.44E-08	6.85E-07	4.18E-05	5.00E-05	9.24E-06	7.11E-06	5.93E-06	1.67E-04	1.33E-04	5.57E-05	1.45E-04	3.33E-05	5.00E-03	3.33E-05	6.97E-07	4.40E-07	2.00E-04	1.33E-04	5.00E-05	1.07E-06	3.33E-06	1.67E-04	1.09E-04	6.67E-05	5.00E-05	3.33E-05	3.33E-05	5.00E-05	6.67E-05	1.67E-04	1.23E-05	6.67E-05	1.00E-04	1.33E-04	6.67E-05	9.39E-05	1.00E-04	9.74E-05	8.33E-06	3.01E-05	6.67E-05	4.36E-05	1.33E-05	2.99E-06	9.49E-05	9.33E-05	5.50E-07	2.00E-04	0.009399	6.67E-05	0.002538	0.0172	7.20E-06	      NA	5.06E-08	      NA	      NA	      NA	      NA	MAX	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
BT474	6.67E-05	3.33E-05	6.72E-05	2.41E-05	2.87E-04	6.11E-07	3.33E-04	2.40E-07	3.33E-05	1.89E-03	2.13E-04	3.95E-05	7.65E-05	1.00E-04	3.33E-05	2.92E-03	1.67E-04	1.67E-04	2.46E-05	4.02E-04	1.00E-05	2.06E-04	2.96E-05	2.16E-06	8.53E-05	3.31E-05	5.96E-06	1.67E-04	3.65E-04	6.67E-05	3.28E-07	6.85E-07	1.24E-05	5.00E-05	7.50E-06	5.57E-06	2.79E-06	5.98E-05	1.33E-04	5.58E-05	1.45E-04	3.33E-05	5.00E-03	6.67E-05	2.01E-07	3.17E-06	2.00E-04	1.33E-04	1.00E-04	3.33E-05	3.33E-06	1.67E-04	1.09E-04	6.67E-05	5.00E-05	3.33E-05	3.54E-05	1.00E-04	6.67E-05	1.67E-04	1.40E-05	6.67E-05	3.82E-05	1.33E-04	6.67E-05	1.72E-04	1.00E-04	6.06E-05	9.11E-06	8.03E-08	6.67E-05	6.67E-05	1.13E-05	4.31E-06	8.09E-05	8.13E-05	5.50E-07	2.00E-04	0.00575	6.67E-05	0.0043	0.0070245	     NA	3.33E-05	6.29E-07	3.33E-05	3.33E-05	3.33E-05	1.60E-05	MAX	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	MAX
SUM1315MO2	6.67E-05	3.33E-05	2.96E-05	1.27E-04	5.45E-05	1.20E-06	3.33E-04	1.37E-07	9.01E-07	1.89E-03	1.43E-03	1.73E-07	7.03E-06	1.00E-04	3.33E-05	2.92E-03	1.85E-05	4.16E-05	1.81E-05	1.16E-04	4.70E-07	6.20E-05	8.50E-06	8.20E-07	8.53E-05	1.95E-06	2.54E-05	1.67E-04	1.00E-03	5.98E-05	1.09E-08	6.85E-07	2.44E-05	5.00E-05	2.14E-06	2.72E-06	3.03E-06	1.67E-04	1.33E-04	5.40E-05	1.45E-04	3.33E-05	5.00E-03	3.33E-05	1.27E-06	4.65E-07	2.00E-04	1.04E-05	5.00E-05	1.60E-06	3.33E-06	1.67E-04	3.85E-06	6.67E-05	5.00E-05	3.33E-05	3.33E-05	5.00E-05	6.67E-05	1.67E-04	2.15E-08	6.67E-05	3.27E-06	1.28E-05	3.01E-05	1.27E-06	1.00E-04	6.60E-05	5.78E-06	1.59E-05	6.67E-05	3.15E-05	1.14E-05	2.29E-06	5.77E-05	4.71E-05	5.50E-07	1.85E-06	0.004239	3.49E-07	0.00182	0.0138	     NA	      NA	       NA	      NA	      NA	      NA	      NA	MAX	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
MCF10F	6.67E-05	3.33E-05	6.43E-05	1.69E-04	3.33E-04	8.82E-07	3.33E-04	4.64E-07	3.33E-05	1.89E-03	3.06E-03	1.59E-06	2.11E-05	2.07E-08	6.66E-06	2.92E-03	1.67E-04	1.67E-04	8.32E-06	1.82E-04	1.00E-05	2.07E-04	2.52E-05	1.26E-07	8.53E-05	2.34E-06	3.33E-05	1.67E-04	4.33E-05	6.67E-05	5.32E-07	6.85E-07	3.21E-05	5.00E-05	6.54E-06	9.13E-06	9.74E-06	1.00E-04	1.33E-04	3.33E-05	1.45E-04	3.33E-05	5.00E-03	3.33E-05	2.34E-06	2.27E-07	2.00E-04	1.99E-05	5.00E-05	5.80E-06	3.33E-06	1.67E-04	2.46E-05	3.33E-05	5.00E-05	3.33E-05	1.70E-05	1.00E-04	6.67E-05	1.67E-04	3.21E-05	6.67E-05	1.00E-04	1.33E-04	3.87E-05	2.11E-06	1.00E-04	1.33E-04	8.50E-06	5.99E-06	1.33E-04	6.67E-05	1.93E-05	9.33E-07	1.67E-04	1.38E-04	5.50E-07	1.33E-04	0.00775	3.92E-07	0.00318	MAX	7.20E-06	      NA	       NA	      NA	      NA	      NA	      NA	MAX	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
HCC38	6.67E-05	3.33E-05	7.44E-05	1.30E-05	1.33E-06	8.53E-07	3.33E-04	1.63E-08	2.10E-08	1.89E-03	1.30E-04	1.33E-08	9.05E-06	1.00E-04	3.33E-05	2.92E-03	1.67E-04	1.67E-04	7.28E-06	6.03E-05	2.32E-07	3.77E-05	2.93E-05	1.10E-05	3.16E-06	1.99E-07	3.33E-05	4.00E-05	1.62E-04	6.67E-05	2.21E-08	6.85E-07	2.84E-05	5.00E-05	4.13E-07	6.53E-06	7.77E-07	1.00E-04	1.33E-04	2.48E-05	9.08E-09	3.33E-05	5.00E-03	6.67E-05	9.70E-08	5.01E-07	2.00E-04	1.05E-05	1.00E-04	2.51E-07	3.33E-06	1.67E-04	1.27E-08	3.33E-05	5.00E-05	3.33E-05	3.91E-05	1.00E-04	6.67E-05	1.67E-04	6.22E-08	3.98E-06	1.15E-06	1.33E-04	3.28E-05	2.35E-07	1.00E-04	7.85E-05	8.13E-06	8.28E-06	1.31E-05	6.67E-05	2.74E-05	6.97E-07	5.61E-06	5.51E-06	4.60E-08	1.33E-04	0.003623	4.75E-07	      NA	0.00823	7.20E-06	3.33E-05	2.00E-07	3.33E-05	3.33E-05	      NA	6.65E-05	0.0001452	6.67E-05	3.33E-05	3.33E-05	      NA	1.33E-04	   NA	      NA	      NA	MAX	MAX
MCF10A	6.67E-05	3.33E-05	1.02E-04	8.62E-05	3.33E-04	1.10E-06	3.33E-04	4.13E-06	3.33E-05	1.89E-03	2.26E-03	2.09E-08	5.06E-05	1.10E-08	3.33E-05	2.92E-03	1.67E-04	1.67E-04	1.35E-05	3.39E-04	1.00E-05	1.69E-04	2.91E-05	1.45E-07	8.53E-05	9.95E-07	1.89E-06	1.67E-04	1.00E-03	6.67E-05	2.73E-07	6.85E-07	3.60E-05	5.00E-05	1.16E-05	6.44E-06	3.43E-06	1.00E-04	1.33E-04	3.33E-05	1.45E-04	3.33E-05	5.00E-03	6.67E-05	5.25E-07	1.21E-07	2.00E-04	6.92E-06	5.00E-05	1.66E-06	3.33E-06	1.06E-04	2.76E-06	3.33E-05	3.33E-05	3.33E-05	3.33E-05	3.33E-05	6.67E-05	1.67E-04	4.64E-05	3.33E-05	1.00E-04	1.33E-04	4.45E-05	1.18E-06	3.33E-05	1.33E-04	9.45E-06	6.67E-05	6.67E-05	6.67E-05	3.33E-05	6.66E-07	3.93E-05	4.44E-05	5.50E-07	1.33E-04	0.00522	6.67E-05	MAX	0.000406	7.20E-06	3.33E-05	1.78E-08	3.33E-05	3.33E-05	3.33E-05	      NA	MAX	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
HCC1143	6.67E-05	3.33E-05	6.69E-05	5.04E-05	1.12E-04	9.70E-07	3.33E-04	1.39E-08	3.33E-05	1.89E-03	1.87E-02	3.95E-05	4.70E-05	1.00E-04	3.33E-05	2.92E-03	1.67E-04	1.67E-04	8.85E-06	3.10E-04	1.00E-05	8.27E-05	9.79E-06	1.00E-04	7.38E-05	3.33E-07	3.33E-05	1.67E-04	7.47E-05	6.67E-05	4.16E-08	6.85E-07	1.77E-05	5.00E-05	9.64E-06	4.34E-06	5.18E-06	1.00E-04	1.33E-04	3.33E-05	1.45E-04	3.33E-05	5.00E-03	6.67E-05	5.13E-07	4.95E-07	2.00E-04	1.50E-05	1.00E-04	3.33E-05	3.33E-06	1.67E-04	2.88E-06	3.33E-05	5.00E-05	3.33E-05	5.00E-05	1.00E-04	6.67E-05	1.67E-04	3.82E-04	6.67E-05	1.00E-04	1.33E-04	6.67E-05	1.23E-06	1.00E-04	1.33E-04	9.04E-06	1.08E-05	6.67E-05	6.67E-05	3.33E-05	1.86E-06	4.04E-05	3.28E-05	4.69E-07	1.33E-04	MAX	6.67E-05	0.002032	MAX	7.20E-06	3.33E-05	       NA	3.33E-05	3.33E-05	3.33E-05	      NA	MAX	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
SUM229PE	6.67E-05	3.33E-05	2.77E-05	3.68E-05	1.03E-05	3.94E-07	3.33E-04	1.88E-07	3.33E-05	1.89E-03	4.91E-04	3.77E-06	1.54E-05	1.00E-04	3.33E-05	2.92E-03	1.67E-04	3.33E-05	1.60E-05	1.35E-03	1.00E-05	6.29E-04	1.66E-05	5.81E-06	2.99E-05	9.20E-05	1.43E-05	1.67E-04	1.00E-03	6.67E-05	8.82E-09	6.85E-07	4.49E-05	5.00E-05	5.61E-06	6.95E-06	5.85E-06	1.00E-04	1.33E-04	3.33E-05	1.45E-04	3.33E-05	5.00E-03	6.67E-05	3.53E-07	1.33E-07	2.00E-04	1.33E-04	5.00E-05	3.33E-05	3.33E-06	1.06E-04	1.09E-04	3.33E-05	3.33E-05	3.33E-05	3.33E-05	3.33E-05	5.24E-05	1.67E-04	3.21E-04	3.33E-05	1.40E-05	1.33E-04	6.67E-05	1.72E-04	3.33E-05	9.44E-05	3.34E-06	1.46E-05	1.33E-04	4.70E-05	1.93E-05	1.30E-06	9.30E-05	5.21E-05	5.50E-07	       NA	0.00665	6.67E-05	0.001069	0.00207	     NA	      NA	5.06E-08	      NA	      NA	      NA	6.65E-05	MAX	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	MAX
