	Erlotinib	AG1024	Imatinib	Trichostatin A	Etoposide	Fascaplysin	Methotrexate	Bortezomib-batch1	Paclitaxel	PS-1145	SAHA (Vorinostat)	Ixabepilone	Cisplatin	Geldanamycin	API-2(Tricir)	Pemetrexed	Purvalanol A	Rapamycin	Sunitinib Malate	Carboplatin	Docetaxel	Oxaliplatin	Nelfinavir	17-AAG	CPT-11(FD)	Doxorubicin(FD)	Iressa	Baicalein	Sorafenib	Mebendazole	Bortezomib-batch2	Cetuximab	AKT1-2 inhibitor	AZD6244	Lestaurtinib(CEP-701)	NSC663284	Oxamflatin	SB-3CT	TCS PIM-11	VX-680	5-FU	Gemcitabine	BEZ235	5-FdUR	AS-252424	Ibandronate sodium salt	LBH589	MG-132	Olomoucine II	PD98059(LC Labs)	TCS2312 dihydrochloride	Sodium Dichloroacetate	Tamoxifen	TPT(FD)	FTase inhibitor I	ICRF-193	PD184352	Rafi IV (L779450)	ZM447439	Disulfiram	AG1478	Vinorelbine	Glycyl H1152	SKI-606(Bosutinib)	XRP44X	NU6102	Epirubicin	ERKi II (FR180304)	Temsirolimus(Torisel)	Valproic acid	IKK 16	BIBW2992	TPCA-1	Everolimus	PD173074	Z-Leu-Leu-Norvalinal	4-HC	4-HC+Dox Combo	Doxorubicin	TCS JNK 5a	Z-Leu-Leu-Leu-al	Methyl Glyoxol	Herceptin	QNZ	Bromopyruvate	GM6001	TAPI-0 (IC-1)	GW5074	Chloroquine	Chk2 inhibitor II	GW843682X	Ro 32-0432	DMSO	Sulindac sulfide	2-deoxy-D-glucose	LY294002	CI1040	UO126	Celecoxib(Celebrex)	Nilotinib
MCF12A	3.17E-05	3.33E-05	7.54E-05	5.34E-05	3.13E-05	9.15E-07	3.33E-04	3.66E-07	3.33E-05	1.89E-03	8.22E-04	6.53E-08	1.19E-04	3.20E-08	2.38E-05	2.92E-03	8.32E-05	2.54E-06	1.06E-05	2.80E-04	1.00E-05	3.18E-05	3.33E-05	3.94E-08	1.62E-05	1.62E-07	1.57E-06	7.71E-05	5.59E-05	6.67E-05	2.75E-06	6.85E-07	3.06E-05	2.11E-05	1.71E-06	2.31E-06	5.53E-06	1.67E-04	4.87E-05	3.35E-06	1.35E-04	7.84E-08	3.33E-05	2.75E-04	3.33E-05	7.99E-04	1.05E-06	9.17E-08	7.20E-06	5.00E-05	1.98E-06	3.33E-06	6.33E-05	2.73E-07	6.67E-05	5.00E-05	3.33E-05	3.33E-05	5.00E-05	6.67E-05	2.29E-07	4.64E-05	6.67E-05	2.75E-06	7.37E-06	2.31E-05	4.11E-07	1.00E-04	2.65E-05	0.005172	7.67E-06	1.29E-06	6.67E-05	3.67E-05	3.33E-05	2.65E-07	2.44E-05	1.97E-05	2.92E-07	1.81E-05	8.20E-08	0.00135	7.20E-06	3.33E-05	4.22E-08	3.33E-05	3.33E-05	3.33E-05	1.68E-05	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	      NA	MAX
MCF10A	1.65E-05	3.33E-05	9.02E-05	6.09E-05	2.55E-04	8.71E-07	3.33E-04	2.07E-06	2.34E-08	1.89E-03	1.05E-03	1.53E-08	3.37E-05	8.69E-09	3.33E-05	2.92E-03	1.67E-04	1.29E-04	1.12E-05	2.25E-04	1.00E-05	6.16E-05	2.47E-05	9.94E-08	4.62E-05	6.59E-07	1.32E-06	1.67E-04	2.58E-04	3.65E-05	1.73E-07	6.85E-07	2.36E-05	5.00E-05	6.62E-06	5.28E-06	2.49E-06	1.00E-04	1.33E-04	3.33E-05	1.43E-04	1.45E-04	3.33E-05	6.83E-05	6.67E-05	1.48E-03	4.06E-07	1.05E-07	5.82E-06	5.00E-05	1.56E-06	3.33E-06	9.66E-05	1.09E-06	3.33E-05	3.33E-05	3.33E-05	3.33E-05	3.33E-05	6.67E-05	5.92E-07	7.06E-08	3.33E-05	5.19E-06	1.33E-04	2.84E-05	7.96E-07	3.33E-05	8.37E-05	0.00376	7.79E-06	1.38E-07	6.67E-05	6.67E-05	3.04E-05	4.96E-07	3.03E-05	3.16E-05	4.83E-07	1.33E-04	6.67E-05	0.0029	7.20E-06	3.33E-05	1.68E-08	3.33E-05	3.33E-05	3.33E-05	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	      NA	MAX
HCC1143	6.67E-05	3.33E-05	5.21E-05	3.42E-05	3.12E-05	6.84E-07	3.33E-04	1.13E-08	3.97E-08	1.89E-03	4.24E-04	1.26E-07	2.47E-05	1.39E-07	3.33E-05	2.92E-03	1.67E-04	1.67E-04	8.26E-06	2.12E-04	3.14E-08	4.28E-05	8.55E-06	1.64E-07	2.15E-05	2.82E-07	3.33E-05	1.67E-04	6.98E-05	1.76E-05	1.60E-08	6.85E-07	1.64E-05	5.00E-05	3.64E-06	3.46E-06	2.59E-06	1.00E-04	1.33E-04	3.33E-05	5.11E-03	1.54E-08	3.33E-05	5.00E-03	6.67E-05	3.02E-04	2.65E-07	3.58E-07	8.75E-06	1.00E-04	3.30E-07	3.33E-06	1.67E-04	7.39E-07	3.33E-05	5.00E-05	3.33E-05	4.83E-05	1.00E-04	1.34E-07	1.67E-04	1.34E-05	6.67E-05	1.00E-04	1.33E-04	2.80E-05	6.90E-07	1.00E-04	4.75E-05	0.00831	7.65E-06	6.18E-06	6.67E-05	4.27E-05	3.14E-05	1.24E-06	2.74E-05	2.33E-05	2.94E-07	1.33E-04	6.16E-07	0.0009826	7.20E-06	3.33E-05	       NA	3.33E-05	3.33E-05	3.33E-05	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	      NA	MAX
HCC1428	6.67E-05	2.55E-05	2.79E-05	3.27E-06	7.81E-05	5.55E-08	3.33E-04	2.15E-07	3.33E-05	1.89E-03	6.61E-05	1.10E-06	5.32E-05	4.92E-08	4.38E-06	2.92E-03	1.67E-04	1.67E-04	8.74E-06	2.31E-04	1.00E-05	1.29E-05	8.44E-06	1.67E-08	4.21E-05	1.72E-06	1.73E-05	1.03E-04	1.13E-04	6.67E-05	1.26E-07	6.85E-07	1.14E-05	5.00E-05	2.95E-06	5.01E-06	6.52E-07	7.55E-05	1.33E-04	2.73E-05	2.42E-05	2.51E-03	3.33E-05	5.59E-04	6.67E-05	3.36E-04	1.45E-07	4.44E-07	1.68E-05	1.00E-04	1.26E-06	3.33E-06	3.43E-05	1.06E-06	3.33E-05	5.00E-05	6.67E-05	2.52E-05	4.60E-05	6.67E-05	1.67E-04	7.58E-06	6.67E-05	8.13E-06	1.33E-04	2.03E-05	1.51E-06	1.00E-04	2.22E-05	0.001289	5.94E-06	3.94E-06	1.33E-04	2.04E-05	1.04E-05	7.95E-07	1.18E-05	1.32E-05	5.50E-07	1.33E-04	3.42E-07	0.0031279	7.20E-06	3.33E-05	       NA	3.33E-05	3.33E-05	      NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	      NA	MAX
HCC1569	6.67E-05	3.33E-05	4.25E-05	1.77E-05	3.33E-04	1.02E-06	3.33E-04	1.11E-08	3.33E-05	1.89E-03	3.77E-04	4.54E-06	1.70E-04	4.21E-08	3.33E-05	2.92E-03	1.67E-04	1.67E-04	1.31E-05	6.09E-04	1.00E-05	1.11E-04	3.33E-05	3.52E-07	5.27E-05	9.01E-06	3.33E-05	1.67E-04	3.00E-04	6.67E-05	1.29E-08	6.85E-07	2.01E-05	5.00E-05	3.11E-06	5.94E-06	3.36E-06	1.67E-04	1.33E-04	1.30E-05	1.82E-03	1.45E-04	3.33E-05	5.00E-03	3.33E-05	1.66E-04	3.70E-07	3.32E-07	5.05E-05	5.00E-05	7.41E-07	3.33E-06	1.67E-04	1.19E-05	6.67E-05	5.00E-05	3.33E-05	3.33E-05	5.00E-05	6.67E-05	5.51E-05	3.07E-06	6.67E-05	3.78E-06	1.33E-04	1.95E-05	9.50E-06	1.00E-04	3.44E-05	0.004839	6.25E-06	3.87E-06	6.67E-05	2.61E-05	1.04E-05	1.16E-06	6.44E-05	5.97E-05	5.50E-07	2.00E-04	4.27E-07	0.0018385	7.20E-06	      NA	4.56E-08	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	      NA	MAX
MCF10F	1.01E-06	8.22E-06	3.99E-05	1.08E-04	3.33E-04	5.65E-07	3.33E-04	1.61E-07	3.33E-05	1.89E-03	1.72E-03	1.31E-07	1.33E-05	1.37E-08	1.40E-06	2.92E-03	2.96E-05	1.67E-04	6.35E-06	1.26E-04	1.00E-05	8.18E-05	1.85E-05	7.10E-08	8.53E-05	1.16E-06	1.35E-06	1.67E-04	3.97E-05	6.67E-05	2.41E-07	6.85E-07	1.66E-05	5.00E-05	4.30E-06	6.30E-06	6.92E-06	1.00E-04	1.33E-04	2.62E-05	4.30E-05	1.45E-04	3.33E-05	1.90E-03	3.33E-05	1.50E-03	1.63E-06	1.55E-07	1.48E-05	5.00E-05	4.34E-06	3.33E-06	1.67E-04	7.52E-06	3.33E-05	5.00E-05	3.33E-05	1.42E-05	1.00E-04	6.67E-05	9.76E-07	1.41E-07	6.67E-05	1.00E-04	1.33E-04	2.38E-05	1.24E-06	9.26E-05	1.14E-04	0.006	6.25E-06	1.58E-06	1.70E-05	4.47E-05	1.25E-05	5.17E-07	1.05E-04	8.01E-05	5.50E-07	1.33E-04	1.79E-07	0.0018	7.20E-06	      NA	       NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	      NA	MAX
BT474	1.89E-05	3.33E-05	4.45E-05	1.52E-05	6.29E-05	3.31E-07	3.33E-04	2.97E-08	1.78E-08	1.89E-03	1.04E-04	1.22E-08	4.42E-05	2.15E-08	2.73E-06	2.92E-03	1.67E-04	1.67E-04	2.00E-05	1.89E-04	9.89E-09	8.44E-05	2.05E-05	1.68E-06	8.53E-05	4.08E-06	1.82E-06	1.67E-04	1.13E-04	7.45E-07	2.48E-08	6.85E-07	3.80E-06	5.00E-05	1.31E-06	4.08E-06	8.09E-07	2.23E-05	1.33E-04	1.57E-05	1.02E-03	6.12E-05	3.33E-05	2.75E-03	4.16E-05	3.24E-04	7.82E-08	6.12E-07	3.11E-05	1.00E-04	1.78E-06	3.33E-06	4.18E-05	8.85E-06	6.67E-05	5.00E-05	3.33E-05	2.65E-05	7.74E-05	6.67E-05	3.11E-06	1.67E-06	6.67E-05	4.91E-06	4.84E-05	1.88E-05	1.72E-04	2.78E-05	3.90E-06	0.00239	7.10E-06	2.38E-08	6.67E-05	3.49E-06	9.74E-06	1.33E-06	3.82E-05	3.23E-05	1.88E-07	1.38E-06	5.69E-07	0.00161	      NA	5.67E-08	2.41E-07	3.33E-05	3.33E-05	3.33E-05	1.39E-05	      NA	      NA	      NA	      NA	      NA	MAX	   NA	      NA	      NA	      NA	MAX
SUM1315MO2	6.67E-05	3.33E-05	2.71E-05	8.54E-05	2.71E-06	7.06E-07	3.33E-04	5.06E-08	1.14E-08	1.89E-03	5.77E-04	1.55E-08	3.27E-06	5.91E-08	2.71E-05	2.92E-03	1.21E-05	1.40E-05	1.21E-05	5.26E-05	5.94E-09	2.74E-05	3.33E-05	6.55E-08	1.88E-05	6.10E-07	7.12E-06	1.06E-04	2.41E-04	6.67E-05	4.88E-09	6.57E-08	1.07E-05	5.00E-05	2.84E-07	1.73E-06	2.63E-06	1.67E-04	1.33E-04	1.01E-05	1.34E-03	5.90E-06	3.17E-06	3.44E-03	3.33E-05	6.07E-05	5.60E-07	2.43E-07	5.70E-06	5.00E-05	7.05E-07	3.33E-06	1.67E-04	1.47E-07	6.67E-05	8.16E-06	3.33E-05	3.33E-05	5.00E-05	1.24E-05	8.23E-05	4.70E-09	3.55E-05	1.31E-06	1.01E-05	1.05E-05	1.63E-07	1.00E-04	8.96E-06	0.003155	3.18E-06	1.55E-06	2.78E-06	1.48E-05	6.06E-06	4.06E-07	1.46E-05	1.10E-05	1.31E-07	1.13E-06	1.77E-07	0.0009885	      NA	      NA	       NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	      NA	MAX
HCC38	6.67E-05	3.33E-05	5.90E-05	1.03E-05	7.89E-07	6.04E-07	3.33E-04	1.41E-08	1.27E-08	1.89E-03	8.24E-05	7.67E-09	4.53E-06	1.26E-07	3.33E-05	2.92E-03	1.67E-04	9.97E-05	6.75E-06	3.47E-05	4.80E-09	1.62E-05	2.44E-05	1.69E-07	1.72E-06	1.31E-07	3.33E-05	3.52E-05	1.36E-04	7.80E-07	2.02E-08	6.85E-07	2.24E-05	5.00E-05	2.56E-07	4.80E-06	5.22E-07	1.00E-04	1.33E-04	1.46E-06	1.59E-03	7.84E-09	3.33E-05	3.45E-03	6.67E-05	9.98E-05	7.25E-08	4.12E-07	7.27E-06	1.00E-04	1.98E-07	3.33E-06	1.67E-04	6.33E-09	3.33E-05	5.00E-05	3.33E-05	3.16E-05	8.99E-06	2.74E-05	1.67E-04	2.34E-08	1.87E-06	1.08E-06	2.73E-05	2.37E-05	1.58E-07	1.00E-04	5.26E-05	0.002421	6.07E-06	5.51E-06	7.14E-06	3.48E-05	1.17E-05	6.41E-07	1.27E-06	1.94E-06	1.48E-08	1.32E-05	4.03E-07	       NA	7.20E-06	3.33E-05	1.75E-07	3.33E-05	3.33E-05	      NA	1.70E-05	6.67E-05	3.33E-05	3.33E-05	      NA	1.33E-04	MAX	   NA	      NA	      NA	MAX	MAX
SUM229PE	6.67E-05	3.33E-05	1.31E-05	2.61E-05	4.24E-06	3.67E-07	3.33E-04	9.40E-08	5.74E-08	1.89E-03	2.48E-04	1.27E-08	9.97E-06	3.45E-08	3.33E-05	2.92E-03	1.67E-04	2.89E-05	1.06E-05	6.38E-05	6.61E-08	1.52E-05	1.59E-05	7.51E-08	1.75E-05	3.63E-07	1.07E-05	1.67E-04	1.00E-03	6.67E-05	6.00E-09	6.85E-07	3.20E-05	2.75E-06	2.06E-06	6.51E-06	4.06E-06	1.00E-04	1.33E-04	5.96E-06	6.78E-04	1.45E-04	3.33E-05	2.62E-03	6.67E-05	1.50E-03	3.23E-07	1.25E-07	1.33E-04	5.00E-05	3.33E-05	3.33E-06	8.74E-06	2.13E-07	3.33E-05	3.33E-05	2.36E-05	3.33E-05	3.33E-05	4.38E-05	1.67E-04	5.89E-09	3.33E-05	6.39E-06	1.33E-04	2.78E-05	6.08E-07	3.33E-05	5.77E-05	0.00511	1.91E-06	7.74E-06	3.66E-06	3.64E-05	1.33E-05	9.18E-07	6.64E-05	3.93E-05	5.50E-07	       NA	4.82E-07	0.000831	      NA	      NA	4.66E-08	      NA	      NA	      NA	1.69E-05	      NA	      NA	      NA	      NA	      NA	MAX	   NA	      NA	      NA	      NA	MAX
